Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
"Camera trap, line transect census and track surveys: a comparative evaluation","Silveira, L; Jacomo, ATA; Diniz, JAF",,,,BIOLOGICAL CONSERVATION,DEC 2003,2003,114,3,,,,351,355,,10.1016/S0006-3207(03)00063-6,,,237,13.94
An evaluation of camera traps for inventorying large- and medium-sized terrestrial rainforest mammals,"Tobler, M. W.; Carrillo-Percastegui, S. E.; Pitman, R. Leite; Mares, R.; Powell, G.",,,,ANIMAL CONSERVATION,JUN 2008,2008,11,3,,,,169,178,,10.1111/j.1469-1795.2008.00169.x,,,234,19.5
Community structure and diversity of tropical forest mammals: data from a global camera trap network,"Ahumada, Jorge A.; Silva, Carlos E. F.; Gajapersad, Krisna; Hallam, Chris; Hurtado, Johanna; Martin, Emanuel; McWilliam, Alex; Mugerwa, Badru; O'Brien, Tim; Rovero, Francesco; Sheil, Douglas; Spironello, Wilson R.; Winarni, Nurul; Andelman, Sandy J.",,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,SEP 27 2011,2011,366,1578,,,SI,2703,2711,,10.1098/rstb.2011.0115,,,120,13.33
Disturbance-mediated mammal persistence and abundance-area relationships in Amazonian forest fragments,"Michalski, Fernanda; Peres, Carlos A.",,,,CONSERVATION BIOLOGY,DEC 2007,2007,21,6,,,,1626,1640,,10.1111/j.1523-1739.2007.00797.x,,,87,6.69
Comparison of the relative efficiencies of stereo-BRUVs and traps for sampling tropical continental shelf demersal fishes,"Harvey, Euan S.; Newman, Stephen J.; McLean, Dianne L.; Cappo, Mike; Meeuwig, Jessica J.; Skepper, Craig L.",,,,FISHERIES RESEARCH,AUG 2012,2012,125,,,,,108,120,,10.1016/j.fishres.2012.01.026,,,68,8.5
,,,,,,,,,,,,,,,,,,,,
Comparing methods for sampling large- and medium-sized mammals: camera traps and track plots,"Lyra-Jorge, Maria Carolina; Ciocheti, Giordano; Pivello, Vania Regina; Meirelles, Sergio Tadeu",,,,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,OCT 2008,2008,54,4,,,,739,744,,10.1007/s10344-008-0205-8,,,65,5.42
Monitoring the Status and Trends of Tropical Forest Terrestrial Vertebrate Communities from Camera Trap Data: A Tool for Conservation,"Ahumada, Jorge A.; Hurtado, Johanna; Lizcano, Diego",,,,PLOS ONE,SEP 4 2013,2013,8,9,,,,,,e73707,10.1371/journal.pone.0073707,,,56,8
"Effects of Private-Land Use, Livestock Management, and Human Tolerance on Diversity, Distribution, and Abundance of Large African Mammals","Kinnaird, Margaret F.; O'Brien, Timothy G.",,,,CONSERVATION BIOLOGY,DEC 2012,2012,26,6,,,,1026,1039,,10.1111/j.1523-1739.2012.01942.x,,,54,6.75
Individual legacy trees influence vertebrate wildlife diversity in commercial forests,"Mazurek, MJ; Zielinski, WJ",,,,FOREST ECOLOGY AND MANAGEMENT,JUN 1 2004,2004,193,3,,,,321,334,,10.1016/j.foreco.2004.01.013,,,48,3
