site,sensor,pendant.ID,Date,Year,Month,Day,Time,temp,intensity,microsite,rep,Lat,Long,burrows,soil.moisture
Carrizo,hobo.pendant,20535201,2019-05-16,2019,5,16,19:15:03,68.248,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-16,2019,5,16,20:15:03,69.278,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-16,2019,5,16,21:15:03,67.221,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-16,2019,5,16,22:15:03,66.193,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-16,2019,5,16,23:15:03,64.825,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-17,2019,5,17,0:15:03,63.626,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-17,2019,5,17,1:15:03,62.94,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-17,2019,5,17,2:15:03,62.425,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-17,2019,5,17,3:15:03,61.741,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-17,2019,5,17,4:15:03,61.227,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-17,2019,5,17,5:15:03,61.912,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-17,2019,5,17,6:15:03,64.481,0,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-17,2019,5,17,7:15:03,65.851,1,shrub.ambient,1,35.11979,-119.62829,0,42
Carrizo,hobo.pendant,20535201,2019-05-17,2019,5,17,8:15:03,66.193,9,shrub.ambient,1,35.11979,-119.62829,0,42
