site,sensor,date,year,month,day,hour,lat,lon,microsite,rep,temp,intensity,pendant.id
panoche,hobo.pendant,05/18/19,2019,5,18,16:24:11,36.69532,-120.79684,shrub.soil,1,81.797,1,1174238
panoche,hobo.pendant,05/18/19,2019,5,18,17:24:11,36.69532,-120.79684,shrub.soil,1,70.995,,1174238
panoche,hobo.pendant,05/18/19,2019,5,18,18:24:11,36.69532,-120.79684,shrub.soil,1,69.449,,1174238
panoche,hobo.pendant,05/18/19,2019,5,18,19:24:11,36.69532,-120.79684,shrub.soil,1,68.934,,1174238
panoche,hobo.pendant,05/18/19,2019,5,18,20:24:11,36.69532,-120.79684,shrub.soil,1,68.421,,1174238
panoche,hobo.pendant,05/18/19,2019,5,18,21:24:11,36.69532,-120.79684,shrub.soil,1,68.592,,1174238
panoche,hobo.pendant,05/18/19,2019,5,18,22:24:11,36.69532,-120.79684,shrub.soil,1,68.592,,1174238
panoche,hobo.pendant,05/18/19,2019,5,18,23:24:11,36.69532,-120.79684,shrub.soil,1,68.421,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,00:24:11,36.69532,-120.79684,shrub.soil,1,68.077,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,01:24:11,36.69532,-120.79684,shrub.soil,1,68.077,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,02:24:11,36.69532,-120.79684,shrub.soil,1,68.077,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,03:24:11,36.69532,-120.79684,shrub.soil,1,68.077,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,04:24:11,36.69532,-120.79684,shrub.soil,1,68.077,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,05:24:11,36.69532,-120.79684,shrub.soil,1,67.906,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,06:24:11,36.69532,-120.79684,shrub.soil,1,67.906,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,07:24:11,36.69532,-120.79684,shrub.soil,1,67.221,4,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,08:24:11,36.69532,-120.79684,shrub.soil,1,64.652,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,09:24:11,36.69532,-120.79684,shrub.soil,1,67.564,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,10:24:11,36.69532,-120.79684,shrub.soil,1,69.449,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,11:24:11,36.69532,-120.79684,shrub.soil,1,70.995,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,12:24:11,36.69532,-120.79684,shrub.soil,1,72.718,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,13:24:11,36.69532,-120.79684,shrub.soil,1,72.372,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,14:24:11,36.69532,-120.79684,shrub.soil,1,74.098,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,15:24:11,36.69532,-120.79684,shrub.soil,1,69.449,2,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,16:24:11,36.69532,-120.79684,shrub.soil,1,68.763,1,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,17:24:11,36.69532,-120.79684,shrub.soil,1,68.934,38,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,18:24:11,36.69532,-120.79684,shrub.soil,1,69.449,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,19:24:11,36.69532,-120.79684,shrub.soil,1,68.763,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,20:24:11,36.69532,-120.79684,shrub.soil,1,67.906,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,21:24:11,36.69532,-120.79684,shrub.soil,1,67.735,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,22:24:11,36.69532,-120.79684,shrub.soil,1,67.392,,1174238
panoche,hobo.pendant,05/19/19,2019,5,19,23:24:11,36.69532,-120.79684,shrub.soil,1,67.05,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,00:24:11,36.69532,-120.79684,shrub.soil,1,66.879,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,01:24:11,36.69532,-120.79684,shrub.soil,1,66.537,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,02:24:11,36.69532,-120.79684,shrub.soil,1,66.366,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,03:24:11,36.69532,-120.79684,shrub.soil,1,66.193,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,04:24:11,36.69532,-120.79684,shrub.soil,1,66.022,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,05:24:11,36.69532,-120.79684,shrub.soil,1,65.851,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,06:24:11,36.69532,-120.79684,shrub.soil,1,65.68,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,07:24:11,36.69532,-120.79684,shrub.soil,1,65.509,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,08:24:11,36.69532,-120.79684,shrub.soil,1,62.769,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,09:24:11,36.69532,-120.79684,shrub.soil,1,60.539,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,10:24:11,36.69532,-120.79684,shrub.soil,1,61.569,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,11:24:11,36.69532,-120.79684,shrub.soil,1,63.626,35,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,12:24:11,36.69532,-120.79684,shrub.soil,1,63.968,44,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,13:24:11,36.69532,-120.79684,shrub.soil,1,74.791,144,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,14:24:11,36.69532,-120.79684,shrub.soil,1,77.574,2,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,15:24:11,36.69532,-120.79684,shrub.soil,1,78.449,22,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,16:24:11,36.69532,-120.79684,shrub.soil,1,76.181,8,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,17:24:11,36.69532,-120.79684,shrub.soil,1,71.856,1,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,18:24:11,36.69532,-120.79684,shrub.soil,1,69.278,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,19:24:11,36.69532,-120.79684,shrub.soil,1,63.968,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,20:24:11,36.69532,-120.79684,shrub.soil,1,60.024,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,21:24:11,36.69532,-120.79684,shrub.soil,1,57.785,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,22:24:11,36.69532,-120.79684,shrub.soil,1,56.057,,1174238
panoche,hobo.pendant,05/20/19,2019,5,20,23:24:11,36.69532,-120.79684,shrub.soil,1,54.147,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,00:24:11,36.69532,-120.79684,shrub.soil,1,52.576,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,01:24:11,36.69532,-120.79684,shrub.soil,1,51.523,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,02:24:11,36.69532,-120.79684,shrub.soil,1,50.643,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,03:24:11,36.69532,-120.79684,shrub.soil,1,51.699,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,04:24:11,36.69532,-120.79684,shrub.soil,1,49.759,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,05:24:11,36.69532,-120.79684,shrub.soil,1,49.582,,1174238
panoche,hobo.pendant,05/21/19,2019,5,21,06:24:11,36.69532,-120.79684,shrub.soil,1,50.819,,1174238
