site,sensor,year,month,day,hour,microsite,temp,RH
Panoche,station,2014,1,1,1,site,0.78,76
Panoche,station,2014,1,1,2,site,0.17,76
Panoche,station,2014,1,1,3,site,-0.5,74
Panoche,station,2014,1,1,4,site,-0.83,76
Panoche,station,2014,1,1,5,site,-1.11,78
Panoche,station,2014,1,1,6,site,-1.83,78
Panoche,station,2014,1,1,7,site,-2.56,79
Panoche,station,2014,1,1,8,site,-2.28,77
Panoche,station,2014,1,1,9,site,2.33,71
Panoche,station,2014,1,1,10,site,7.22,59
Panoche,station,2014,1,1,11,site,10.94,50
Panoche,station,2014,1,1,12,site,13.61,43
Panoche,station,2014,1,1,13,site,15.83,38
Panoche,station,2014,1,1,14,site,17,34
Panoche,station,2014,1,1,15,site,17.72,31
Panoche,station,2014,1,1,16,site,15.94,37
Panoche,station,2014,1,1,17,site,13.28,43
Panoche,station,2014,1,1,18,site,10.67,50
Panoche,station,2014,1,1,19,site,9.06,61
Panoche,station,2014,1,1,20,site,7.67,65
Panoche,station,2014,1,1,21,site,5,66
Panoche,station,2014,1,1,22,site,4,68
Panoche,station,2014,1,1,23,site,3.33,69
Panoche,station,2014,1,1,24,site,2.06,69
Panoche,station,2014,1,2,1,site,1.28,70
Panoche,station,2014,1,2,2,site,1,74
Panoche,station,2014,1,2,3,site,0.72,78
Panoche,station,2014,1,2,4,site,-0.22,75
Panoche,station,2014,1,2,5,site,-0.94,74
Panoche,station,2014,1,2,6,site,-1.39,75
Panoche,station,2014,1,2,7,site,-2.28,76
Panoche,station,2014,1,2,8,site,-0.94,82
Panoche,station,2014,1,2,9,site,2.61,74
Panoche,station,2014,1,2,10,site,7,63
Panoche,station,2014,1,2,11,site,10.5,54
Panoche,station,2014,1,2,12,site,13.28,46
Panoche,station,2014,1,2,13,site,15.17,39
Panoche,station,2014,1,2,14,site,16.94,34
Panoche,station,2014,1,2,15,site,17.39,33
Panoche,station,2014,1,2,16,site,15.94,38
Panoche,station,2014,1,2,17,site,13.94,46
Panoche,station,2014,1,2,18,site,11.17,55
Panoche,station,2014,1,2,19,site,8.06,66
Panoche,station,2014,1,2,20,site,5.67,67
Panoche,station,2014,1,2,21,site,4.61,63
Panoche,station,2014,1,2,22,site,3.44,65
Panoche,station,2014,1,2,23,site,3.33,65
Panoche,station,2014,1,2,24,site,2.44,68
Panoche,station,2014,1,3,1,site,1.72,72
Panoche,station,2014,1,3,2,site,0.61,71
Panoche,station,2014,1,3,3,site,-0.11,71
Panoche,station,2014,1,3,4,site,-0.28,71
Panoche,station,2014,1,3,5,site,-1.06,72
Panoche,station,2014,1,3,6,site,-1.11,73
Panoche,station,2014,1,3,7,site,-0.61,80
Panoche,station,2014,1,3,8,site,-0.61,83
Panoche,station,2014,1,3,9,site,2.06,77
Panoche,station,2014,1,3,10,site,7.06,64
Panoche,station,2014,1,3,11,site,11.17,50
Panoche,station,2014,1,3,12,site,13.78,40
Panoche,station,2014,1,3,13,site,15.83,35
Panoche,station,2014,1,3,14,site,16.56,31
Panoche,station,2014,1,3,15,site,16.83,29
Panoche,station,2014,1,3,16,site,17.33,30
Panoche,station,2014,1,3,17,site,15.17,38
Panoche,station,2014,1,3,18,site,11.83,46
Panoche,station,2014,1,3,19,site,8.56,48
Panoche,station,2014,1,3,20,site,7.28,57
Panoche,station,2014,1,3,21,site,6.22,65
Panoche,station,2014,1,3,22,site,4.83,66
Panoche,station,2014,1,3,23,site,4.39,66
Panoche,station,2014,1,3,24,site,3,67
Panoche,station,2014,1,4,1,site,2.17,67
Panoche,station,2014,1,4,2,site,1.5,69
Panoche,station,2014,1,4,3,site,1.78,75
Panoche,station,2014,1,4,4,site,1.5,79
Panoche,station,2014,1,4,5,site,0.33,77
Panoche,station,2014,1,4,6,site,-0.39,77
Panoche,station,2014,1,4,7,site,-0.22,84
Panoche,station,2014,1,4,8,site,-0.33,88
Panoche,station,2014,1,4,9,site,3.33,83
Panoche,station,2014,1,4,10,site,7.78,75
Panoche,station,2014,1,4,11,site,10.78,59
Panoche,station,2014,1,4,12,site,13.78,48
Panoche,station,2014,1,4,13,site,15.89,42
Panoche,station,2014,1,4,14,site,16.83,41
Panoche,station,2014,1,4,15,site,17,41
Panoche,station,2014,1,4,16,site,17.11,40
Panoche,station,2014,1,4,17,site,15.28,44
Panoche,station,2014,1,4,18,site,11.22,54
