station.id,site,station.name,CIMIS Region,hour,date,month,day,year,precip,radiation,air.temp,wind.speed,soil.temp,,,,,,,,,,,,,,
56,panoche,Los Banos,San Joaquin Valley,1,5/18/2019,5,18,2019,0,0,8.7,1.4,18.1,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,2,5/18/2019,5,18,2019,0,0,9.2,1.3,18,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,3,5/18/2019,5,18,2019,0,0,8.8,0.9,18,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,4,5/18/2019,5,18,2019,0,0,7.6,1.2,17.9,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,5,5/18/2019,5,18,2019,0,0,6.6,1.2,17.8,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,6,5/18/2019,5,18,2019,0,57,7,0.6,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,7,5/18/2019,5,18,2019,0,176,10.3,1,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,8,5/18/2019,5,18,2019,0,432,13.7,0.9,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,9,5/18/2019,5,18,2019,0,597,16,1.4,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,10,5/18/2019,5,18,2019,0,723,17.5,3,17.3,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,11,5/18/2019,5,18,2019,0,403,18.4,3.6,17.3,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,12,5/18/2019,5,18,2019,0,229,18.9,3.2,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,13,5/18/2019,5,18,2019,0,194,19.1,3.2,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,14,5/18/2019,5,18,2019,1.4,72,13.7,4.5,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,15,5/18/2019,5,18,2019,0.2,117,13.7,2.5,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,16,5/18/2019,5,18,2019,0.5,78,13.7,3.1,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,17,5/18/2019,5,18,2019,1,45,13.5,2.6,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,18,5/18/2019,5,18,2019,1,23,13.2,2.3,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,19,5/18/2019,5,18,2019,1.3,6,12.9,2.8,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,20,5/18/2019,5,18,2019,0,0,12.4,3.9,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,21,5/18/2019,5,18,2019,0,0,12.2,3,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,22,5/18/2019,5,18,2019,0,0,12.5,4,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,23,5/18/2019,5,18,2019,0,0,12.5,4.2,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,24,5/18/2019,5,18,2019,0.4,0,12.4,3.6,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,1,5/19/2019,5,19,2019,0.4,0,12.2,3.9,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,2,5/19/2019,5,19,2019,0,0,11.7,4,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,3,5/19/2019,5,19,2019,0.6,0,11.4,4.4,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,4,5/19/2019,5,19,2019,0.8,0,11.4,4,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,5,5/19/2019,5,19,2019,0,1,11.4,2.8,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,6,5/19/2019,5,19,2019,0,57,11.1,2.3,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,7,5/19/2019,5,19,2019,0,245,12.9,2.1,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,8,5/19/2019,5,19,2019,0,275,14,3,17.3,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,9,5/19/2019,5,19,2019,1,128,12.9,4.9,17.3,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,10,5/19/2019,5,19,2019,4.6,109,9.7,3.4,17.3,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,11,5/19/2019,5,19,2019,0,612,12.6,1.8,17.3,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,12,5/19/2019,5,19,2019,0,728,15.2,1.8,17.2,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,13,5/19/2019,5,19,2019,0,742,16.4,3.1,17.2,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,14,5/19/2019,5,19,2019,0.6,291,15.6,3.8,17.2,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,15,5/19/2019,5,19,2019,0.5,693,14.9,2.3,17.2,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,16,5/19/2019,5,19,2019,0,251,15.5,1.4,17.3,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,17,5/19/2019,5,19,2019,0.1,251,14.6,2,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,18,5/19/2019,5,19,2019,1,92,13.8,3,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,19,5/19/2019,5,19,2019,0,29,12.1,2.6,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,20,5/19/2019,5,19,2019,0.2,1,11.8,2.1,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,21,5/19/2019,5,19,2019,2.2,0,11.4,1.4,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,22,5/19/2019,5,19,2019,0.1,0,11.4,1.8,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,23,5/19/2019,5,19,2019,0,0,11.2,2.1,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,24,5/19/2019,5,19,2019,0,0,11.1,0.9,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,1,5/20/2019,5,20,2019,0,0,10.5,0.9,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,2,5/20/2019,5,20,2019,0,0,9.6,1.2,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,3,5/20/2019,5,20,2019,0.1,0,8.4,1.5,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,4,5/20/2019,5,20,2019,0,0,7.7,1.5,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,5,5/20/2019,5,20,2019,0,1,8.5,2.1,17.3,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,6,5/20/2019,5,20,2019,0,60,8.4,1.6,17.3,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,7,5/20/2019,5,20,2019,0,238,10.2,2.4,17.2,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,8,5/20/2019,5,20,2019,0,315,12.1,3.2,17.1,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,9,5/20/2019,5,20,2019,0,517,13.2,2.9,17.1,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,10,5/20/2019,5,20,2019,0,679,14.6,2.3,17,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,11,5/20/2019,5,20,2019,0,582,15.7,2.7,17,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,12,5/20/2019,5,20,2019,0,760,16.8,2.3,17,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,13,5/20/2019,5,20,2019,0,999,18.4,2.3,17.1,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,14,5/20/2019,5,20,2019,0,850,18.9,2,17.1,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,15,5/20/2019,5,20,2019,0,723,20,1.7,17.2,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,16,5/20/2019,5,20,2019,0,479,20.1,2.2,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,17,5/20/2019,5,20,2019,0,471,20.4,3.6,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,18,5/20/2019,5,20,2019,0,263,18.9,5.9,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,19,5/20/2019,5,20,2019,0,69,16.4,6.2,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,20,5/20/2019,5,20,2019,0,1,14.4,5,17.8,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,21,5/20/2019,5,20,2019,0,0,13.5,5.8,17.8,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,22,5/20/2019,5,20,2019,0,0,12.9,4.3,17.9,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,23,5/20/2019,5,20,2019,0,0,12.1,2.7,17.9,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,24,5/20/2019,5,20,2019,0,0,11.5,2.5,17.8,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,1,5/21/2019,5,21,2019,0,0,12,3.7,17.8,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,2,5/21/2019,5,21,2019,0,0,12.6,3.9,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,3,5/21/2019,5,21,2019,0,0,12.6,2.2,17.7,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,4,5/21/2019,5,21,2019,0,0,10.9,2,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,5,5/21/2019,5,21,2019,0,0,11.9,2.4,17.6,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,6,5/21/2019,5,21,2019,0.8,13,11.6,3.1,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,7,5/21/2019,5,21,2019,0,125,11.9,1.7,17.5,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,8,5/21/2019,5,21,2019,0,429,13.5,2,17.4,,,,,,,,,,,,,, 
56,panoche,Los Banos,San Joaquin Valley,9,5/21/2019,5,21,2019,0,478,14.5,2.5,17.4,,,,,,,,,,,,,, 
