site,sensor,date,year,month,day,hour.24,hour,lat,lon,microsite,rep,temp,intensity,pendant.id,timeblock,soil.moisture,cover.type
panoche,hobo.pendant,05/18/19,2019,5,18,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,72.372,3,20578912,evening,23,15
panoche,hobo.pendant,05/18/19,2019,5,18,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,70.995,,20578912,evening,23,15
panoche,hobo.pendant,05/18/19,2019,5,18,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,69.793,,20578912,morning,23,15
panoche,hobo.pendant,05/18/19,2019,5,18,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,69.107,,20578912,morning,23,15
panoche,hobo.pendant,05/18/19,2019,5,18,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,68.592,,20578912,morning,23,15
panoche,hobo.pendant,05/18/19,2019,5,18,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,68.763,,20578912,morning,23,15
panoche,hobo.pendant,05/18/19,2019,5,18,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,68.763,,20578912,morning,23,15
panoche,hobo.pendant,05/18/19,2019,5,18,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,68.421,,20578912,morning,23,15
panoche,hobo.pendant,05/19/19,2019,5,19,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,68.248,,20578912,afternoon,23,15
panoche,hobo.pendant,05/19/19,2019,5,19,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,68.421,,20578912,evening,23,15
panoche,hobo.pendant,05/19/19,2019,5,19,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,68.248,,20578912,evening,23,15
panoche,hobo.pendant,05/19/19,2019,5,19,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,68.248,,20578912,evening,23,15
panoche,hobo.pendant,05/19/19,2019,5,19,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,68.248,,20578912,evening,23,15
panoche,hobo.pendant,05/19/19,2019,5,19,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,68.077,,20578912,evening,23,15
