site,siteid,sensor,lay,long,date,year,month,day,hour,microsite,rep,temp
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/24/2008,2008,11,24,2,open,1,23
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/24/2008,2008,11,24,3,open,1,23
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/24/2008,2008,11,24,4,open,1,25
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/24/2008,2008,11,24,5,open,1,27
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/24/2008,2008,11,24,6,open,1,21
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/24/2008,2008,11,24,21,open,1,14
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/24/2008,2008,11,24,22,open,1,17
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/24/2008,2008,11,24,23,open,1,17
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/24/2008,2008,11,24,24,open,1,18
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,1,open,1,22
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,3,open,1,12
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,5,open,1,11
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,6,open,1,13
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,7,open,1,8
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,10,open,1,2
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,13,open,1,2
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,20,open,1,10
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,21,open,1,17
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,22,open,1,15
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,23,open,1,10
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/25/2008,2008,11,25,24,open,1,19
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/26/2008,2008,11,26,1,open,1,22
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/26/2008,2008,11,26,2,open,1,23
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/26/2008,2008,11,26,3,open,1,28
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/26/2008,2008,11,26,4,open,1,35
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/26/2008,2008,11,26,5,open,1,22
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/26/2008,2008,11,26,6,open,1,23
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/26/2008,2008,11,26,22,open,1,21
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/26/2008,2008,11,26,23,open,1,26
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/26/2008,2008,11,26,24,open,1,28
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/27/2008,2008,11,27,1,open,1,48
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/27/2008,2008,11,27,2,open,1,25
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/27/2008,2008,11,27,3,open,1,24
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/27/2008,2008,11,27,12,open,1,6
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/27/2008,2008,11,27,21,open,1,31
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/27/2008,2008,11,27,22,open,1,32
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/27/2008,2008,11,27,23,open,1,40
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/27/2008,2008,11,27,24,open,1,43
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,1,open,1,47
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,2,open,1,48
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,3,open,1,35
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,4,open,1,38
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,5,open,1,38
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,18,open,1,8
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,19,open,1,8
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,20,open,1,22
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,21,open,1,32
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,22,open,1,40
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,23,open,1,46
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,28,24,open,1,45
Panoche,Open2,Camera Trap,36.69533,-120.79709,11/28/2008,2008,11,29,1,open,1,39
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/20/2019,2019,5,29,15,open,1,23
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/20/2019,2019,5,20,16,open,1,24
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/20/2019,2019,5,20,17,open,1,29
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/20/2019,2019,5,20,18,open,1,31
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/20/2019,2019,5,20,19,open,1,26
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,9,open,1,8
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,10,open,1,12
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,11,open,1,14
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,12,open,1,16
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,13,open,1,24
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,14,open,1,18
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,15,open,1,13
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,18,open,1,10
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,19,open,1,11
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,20,open,1,8
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,22,open,1,4
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/21/2019,2019,5,21,23,open,1,3
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,9,open,1,13
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,10,open,1,18
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,11,open,1,11
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,12,open,1,19
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,13,open,1,25
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,14,open,1,22
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,15,open,1,26
